X,Y,Z,E,A,B,C,D,F,G,H,I,J,K,L,M,N,prop_strict_med_pos,prop_qual_n_winning_parties,plur_util_winner_avg,prop_qual_min_govt_unstable,prop_qual_condorcet_winner,prop_strict_min_govt_size,spat_char_corr4,prop_strict_util_winner,major_qual_med_pos,prop_strict_unanimity,prop_qual_coalition_size,plur_util_max_med,prop_gallagher_index,tangian_adj_pop_parties,spat_char_corr5,prop_qual_util_eff,major_util_max_avg,major_cond_eff,prop_strict_nonzero_pos,major_qual_nonzero_pos,major_vse,plur_vse,spat_med_entropy1,prop_strict_util_max,major_util_max_elec_rate,major_cond_paradox,prop_qual_elec_failed,major_strict_nonzero_pos,major_util_max_med,tangian_raw_pop_body,prop_qual_util_winner,prop_qual_nonzero_pos,spat_med_entropy3,prop_strict_cond_paradox,plur_smith_eff,major_strict_med_pos,prop_strict_util_maxer_elected,prop_qual_min_govt_size,plur_util_eff_med,plur_cond_eff,spat_med_entropy2,major_util_eff_avg,plur_cond_paradox,spat_avg_entropy2,spat_med_entropy5,prop_strict_min_govt_unstable,spat_agg_dist_corr,plur_gallagher_index,prop_qual_n_parties_eff,prop_qual_util_maxer_elected,tangian_raw_uni_parties,prop_qual_single_party_win,plur_util_max_avg,tangian_adj_uni_parties,spat_char_corr2,major_util_winner_avg,tangian_adj_uni_body,plur_qual_social_util,spat_med_entropy4,prop_qual_med_pos,prop_strict_n_parties_eff,prop_strict_min_govt_elected,major_n_parties_eff,prop_qual_unanimity_rate,prop_qual_winner_smith,plur_n_parties_eff,plur_qual_nonzero_pos,plur_util_eff_avg,major_smith_eff,spat_avg_entropy5,prop_strict_elec_failed,prop_strict_winner_smith,plur_strict_nonzero_pos,major_strict_social_util,major_n_winning_parties,prop_qual_util_max,spat_char_corr3,plur_qual_med_pos,plur_strict_med_pos,prop_qual_cond_paradox,spat_avg_entropy4,major_qual_social_util,plur_util_winner_med,prop_strict_coalition_size,spat_avg_entropy1,prop_strict_condorcet_winner,prop_qual_min_govt_elected,tangian_raw_pop_parties,prop_strict_unanimity_rate,prop_strict_n_parties,prop_strict_single_party_win,prop_strict_util_eff,tangian_raw_uni_body,plur_strict_social_util,prop_qual_unanimity,major_util_eff_med,major_util_winner_med,spat_char_corr1,plur_util_max_elec_rate,tangian_adj_pop_body,prop_strict_n_winning_parties,spat_avg_entropy3,major_gallagher_index,plur_n_winning_parties,prop_qual_n_parties,prop_true_gallagher_index,maj_true_gallagher_index,plur_true_gallagher_index
"String3[""L1""]","String3[""L2""]","String3[""L2""]","String3[""L3""]","String3[""L1""]","String3[""L3""]","String7[""C3_2""]","String7[""D3_1""]","String7[""F3_3""]","String3[""L1""]","String3[""L2""]","String3[""L2""]","[""L0""]","String3[""L1""]","String3[""L_2""]","String3[""M_1""]","String7[""N3_2""]",[0.0],[5],[3.189165096153846e6],Bool[0],Bool[0],[3],[0.41739853154302003],[2.0299628947368422e8],[-0.5],[1],[3],[3.3194399038461633e6],[0.009106446068582399],[0.200807696],[0.4829132204636785],[0.9871874337063532],[3.3128437500000014e6],[0.82],[1],[19],[0.970094598310915],[0.9626669220828313],[1.6010992515797785e-10],[2.0430928947368422e8],[0.5],[0],Bool[0],[0],[3.3194399038461633e6],[0.2025344],[2.0169156315789476e8],[2],[5.626311441231422e-10],Bool[1],[0.64],[0.0],Bool[0],[0],[0.9818841782165282],[0.64],[5.868159100773584e-10],[0.9701976600033362],[0],[6.026177496966663e-10],[1.1052617391242518e-10],Bool[0],[0.5629017383886443],[0.12526909326725408],[4.940711462450592],Bool[0],[0.0],Bool[1],[3.3128437500000014e6],[0.0],[0.27431446558418227],[3.213771826923077e6],[0.0],[2.76606e6],[7.143243088633227e-11],[0.0],[4.940711462450592],Bool[1],[4.612546125461254],[0.24],Bool[0],[4.8076923076923075],[18],[0.9628531368899844],[0.82],[1.0996485954237074e-10],Bool[0],Bool[1],[0],[2.616310344827586e6],[5],[2.0430928947368422e8],[0.23723798700046736],[1.0],[0.0],Bool[0],[9.881222445085001e-11],[3.2158e6],[3.1754182692307727e6],[3],[1.414815123144637e-10],Bool[0],Bool[0],[0.20080769599999998],[0.02],[5],Bool[0],[0.9935734689138102],[0.0],[2.616310344827586e6],[12],[0.9973302119675641],[3.2175697115384666e6],[0.560423685932767],[0.42],[0.2025344],[5],[5.304186479831543e-10],[0.13850352243896183],[5],[5],[0.09973377425927489],[0.13850352243896183],[0.12526909326725408]
"String3[""L1""]","String3[""L2""]","String3[""L2""]","String3[""L3""]","String3[""L2""]","String3[""L3""]","String7[""C3_3""]","String7[""D3_2""]","String7[""F3_3""]","String3[""L3""]","String3[""L3""]","String3[""L2""]","[""L0""]","String3[""L1""]","String3[""L_3""]","String3[""M_1""]","String7[""N3_1""]",[0.0],[1],[3.1168775384615385e6],Bool[0],Bool[0],[0],[0.7311579943556197],[1.4605073684210527e8],[-1.0],[20],[1],[3.2847461538461535e6],[0.0],[0.20140939999999996],[0.1890938358367692],[0.9420604112987269],[3.2846356923076916e6],[0.84],[14],[20],[0.9573406540687123],[0.9489264047641488],[1.2169411099909152e-10],[1.5503330263157895e8],[0.4],[0],Bool[0],[0],[3.2847461538461535e6],[0.2051972],[1.4605073684210527e8],[14],[1.3697521226663247],Bool[0],[0.58],[0.0],Bool[0],[0],[0.9746878991628888],[0.58],[0.9925059458548767],[0.9578390547171068],[0],[0.9908136892033348],[0.24623152029293394],Bool[0],[0.9045077615198056],[0.201428],[1.0],Bool[0],[0.0],Bool[1],[3.2846356923076916e6],[0.0],[0.4030259695027767],[3.144515282051283e6],[0.0],[2.5994375e6],[1.3563115285112808],[0.0],[1.0],Bool[0],[1.6254876462938883],[0.4],Bool[0],[1.950078003120125],[19],[0.9498656707948335],[0.84],[0.2782618471840056],Bool[0],Bool[0],[0],[2.519730769230769e6],[2],[1.5503330263157895e8],[0.8507437811278326],[-1.0],[0.0],Bool[0],[1.3629803632827941],[3.0561359223300973e6],[3.1432358974359008e6],[1],[1.3853102898093882e-10],Bool[0],Bool[0],[0.20140939999999996],[0.4],[2],Bool[1],[0.9420604112987269],[0.0],[2.519730769230769e6],[20],[0.9845908385421012],[3.1507102564102574e6],[0.6093211059420615],[0.34],[0.2051972],[1],[1.346740659891908],[0.11857200000000001],[2],[2],[0.621428],[0.11857200000000001],[0.201428]
"String3[""L1""]","String3[""L2""]","String3[""L2""]","String3[""L3""]","String3[""L1""]","String3[""L3""]","String7[""C3_2""]","String7[""D3_1""]","String7[""F3_3""]","String3[""L1""]","String3[""L2""]","String3[""L2""]","[""L0""]","String3[""L2""]","String3[""L_2""]","String3[""M_1""]","String7[""N3_2""]",[0.0],[5],[3.090061218274106e6],Bool[0],Bool[0],[3],[0.5494534407234636],[1.9555224404761904e8],[-1.0],[1],[3],[3.262779187817257e6],[0.01267585294960461],[0.20339902399999998],[0.6725501182492639],[0.9852963735976348],[3.2735131979695354e6],[0.46],[1],[20],[0.9535600693522124],[0.9439586864017474],[1.660560586699623e-10],[2.0149791071428573e8],[0.36],[0],Bool[0],[0],[3.262779187817257e6],[0.2023182],[1.9853516071428573e8],[2],[6.725451899364527e-11],Bool[1],[0.42],[0.0],Bool[0],[0],[0.952485130936573],[0.42],[4.3284354220506383e-10],[0.9534936991813315],[0],[4.745587919991788e-10],[1.1949032195505794e-10],Bool[0],[0.6822224604423442],[0.1332823326926716],[4.940711462450593],Bool[0],[0.0],Bool[0],[3.2735131979695354e6],[0.0],[0.1501521257027764],[3.121491472081213e6],[0.0],[2.735767676767677e6],[2.113607256637208e-9],[0.0],[4.940711462450593],Bool[1],[4.826254826254826],[0.2],Bool[0],[4.8076923076923075],[20],[0.943952007429543],[0.46],[1.5862664263719608e-10],Bool[0],Bool[1],[0],[2.57171186440678e6],[5],[2.0149791071428573e8],[0.5398035118454155],[1.0],[0.0],Bool[0],[2.210104848534259e-9],[2.7243814432989685e6],[3.0914568527918747e6],[3],[1.606251136045048e-10],Bool[0],Bool[0],[0.20339902400000004],[0.02],[5],Bool[0],[0.9704926634445488],[0.0],[2.57171186440678e6],[10],[0.9632675523777562],[3.139327411167507e6],[0.6055120519547529],[0.28],[0.20231820000000003],[5],[6.721281873155612e-11],[0.08376693982711796],[5],[5],[0.11053841055488359],[0.08376693982711796],[0.1332823326926716]
"String3[""L1""]","String3[""L2""]","String3[""L2""]","String3[""L3""]","String3[""L2""]","String3[""L3""]","String7[""C3_3""]","String7[""D3_2""]","String7[""F3_3""]","String3[""L3""]","String3[""L3""]","String3[""L2""]","[""L0""]","String3[""L2""]","String3[""L_3""]","String3[""M_1""]","String7[""N3_1""]",[-1.0],[1],[3.122619292929294e6],Bool[0],Bool[0],[0],[0.5425954026078776],[1.5828954210526317e8],[-1.0],[20],[1],[3.3081287878787904e6],[0.7071067811865476],[0.2009308],[0.5917124030226416],[0.7678669019023456],[3.309801111111113e6],[0.7],[16],[20],[0.954853279200059],[0.9434462035940941],[3.265469516968127e-11],[2.061419e8],[0.36],[0],Bool[0],[0],[3.3081287878787904e6],[0.2041022],[1.5912705291005293e8],[16],[0.6318640890748859],Bool[0],[0.48],[0.0],Bool[0],[0],[0.9457545052224473],[0.48],[0.9322522805425986],[0.9548765828712863],[0],[0.9268203832893351],[0.6234910593391285],Bool[0],[0.8307682486480067],[0.0978390633642821],[1.0],Bool[0],[0.0],Bool[1],[3.309801111111113e6],[0.0],[0.7473987004214029],[3.160374444444445e6],[0.0],[2.9124537037037034e6],[0.7219436601481288],[-1.0],[1.0],Bool[0],[1.7908309455587397],[0.4],Bool[0],[2.6371308016877633],[20],[0.9442446122054153],[0.7],[0.6276956802542262],Bool[0],Bool[0],[0],[2.454365384615385e6],[3],[2.072325978835979e8],[0.6335620965044478],[-1.0],[0.0],Bool[0],[0.7430065199212355],[2.9190833333333335e6],[3.1016919191919183e6],[1],[3.468105338035055e-11],Bool[0],Bool[0],[0.20093080000000005],[0.4],[5],Bool[1],[0.7678669019023457],[0.0],[2.454365384615385e6],[20],[0.9626649850449649],[3.1372853535353485e6],[0.41628838565898135],[0.26],[0.20410219999999996],[1],[0.6354159419499692],[0.21999745980351681],[4],[5],[0.4451784387411412],[0.21999745980351681],[0.0978390633642821]
"String3[""L1""]","String3[""L2""]","String3[""L2""]","String3[""L3""]","String3[""L1""]","String3[""L3""]","String7[""C3_2""]","String7[""D3_1""]","String7[""F3_3""]","String3[""L1""]","String3[""L2""]","String3[""L2""]","[""L0""]","String3[""L3""]","String3[""L_2""]","String3[""M_1""]","String7[""N3_2""]",[0.0],[5],[3.097767738693471e6],Bool[0],Bool[0],[3],[0.4182365498286307],[1.8904435849056602e8],[1.0],[3],[3],[3.3440753768844283e6],[0.012670866110886018],[0.202186508],[0.41279400133759625],[0.9680940918821244],[3.330720502512565e6],[0.28],[3],[20],[0.9316853863149236],[0.9300593479268634],[3.5840190879136603e-10],[1.984868616352201e8],[0.16],[0],Bool[0],[0],[3.3440753768844283e6],[0.20166539999999997],[1.906311886792453e8],[2],[7.109179024583336e-10],Bool[1],[0.2],[0.0],Bool[0],[0],[0.943851093394048],[0.2],[1.721568226429927e-10],[0.9321583898754229],[0],[1.7674303130025498e-10],[4.816618933036232e-11],Bool[0],[0.4816631976656675],[0.19777286596497506],[4.940711462450592],Bool[0],[0.0],Bool[0],[3.330720502512565e6],[0.0],[0.16781985961127832],[3.1031836180904554e6],[0.0],[3.059619469026549e6],[3.975867808585036e-10],[0.0],[4.940711462450592],Bool[1],[4.545454545454545],[0.24],Bool[0],[4.325259515570934],[19],[0.9304549283456592],[0.28],[5.425615560166777e-11],Bool[0],Bool[1],[0],[2.559912280701754e6],[5],[1.9691390566037732e8],[0.2929090349486887],[1.0],[0.0],Bool[0],[3.9784378112562715e-10],[3.0664999999999995e6],[3.1117763819095492e6],[3],[3.6937011739318213e-10],Bool[0],Bool[0],[0.20218650800000004],[0.06],[5],Bool[0],[0.952427565901024],[0.0],[2.559912280701754e6],[12],[0.9421998551735098],[3.11966834170854e6],[0.7231728497840729],[0.1],[0.20166539999999997],[5],[7.764551831887815e-10],[0.16937067784005588],[5],[5],[0.11052722068341353],[0.16937067784005588],[0.19777286596497506]
"String3[""L1""]","String3[""L2""]","String3[""L2""]","String3[""L3""]","String3[""L2""]","String3[""L3""]","String7[""C3_3""]","String7[""D3_2""]","String7[""F3_3""]","String3[""L3""]","String3[""L3""]","String3[""L2""]","[""L0""]","String3[""L3""]","String3[""L_3""]","String3[""M_1""]","String7[""N3_1""]",[0.0],[1],[3.2832320192307676e6],Bool[0],Bool[0],[0],[0.6967853088586273],[1.72126375e8],[-0.5],[20],[1],[3.5692860576923057e6],[0.7071067811865476],[0.208304],[0.13379208160896805],[0.8365429170082679],[3.548515865384615e6],[0.26],[12],[19],[0.9359492789035717],[0.9252409017691982],[1.0511951632306327e-10],[2.0575916847826087e8],[0.24],[0],Bool[0],[0],[3.5692860576923057e6],[0.2049526],[1.7119596216216215e8],[12],[0.573386457925732],Bool[0],[0.12],[0.0],Bool[0],[0],[0.9261488314351682],[0.12],[0.6038084255499936],[0.9367440605309457],[0],[0.5960126830815397],[0.5031428976766392],Bool[0],[0.7398954578432543],[0.16757196271453048],[1.0],Bool[0],[0.0],Bool[1],[3.548515865384615e6],[0.0],[0.24088292359111463],[3.321230865384614e6],[0.0],[2.849352941176471e6],[1.4786549893321632],[0.0],[1.0],Bool[0],[3.3156498673740056],[0.4],Bool[0],[4.448398576512456],[20],[0.9262742751402615],[0.26],[0.498367676823225],Bool[0],Bool[0],[0],[2.694813559322034e6],[7],[2.0464695675675675e8],[0.19168123016417435],[0.0],[0.0],Bool[0],[1.4782548895802856],[3.1373448275862075e6],[3.2985697115384527e6],[1],[1.0057990239936753e-10],Bool[0],Bool[0],[0.20830399999999996],[0.4],[8],Bool[1],[0.8365429170082679],[0.0],[2.694813559322034e6],[20],[0.9302810303823434],[3.3143846153846104e6],[0.6271429958314897],[0.18],[0.2049526],[1],[0.5769746273170849],[0.08387730734829296],[7],[8],[0.7102817206489267],[0.08387730734829296],[0.16757196271453048]
"String3[""L1""]","String3[""L2""]","String3[""L2""]","String3[""L3""]","String3[""L2""]","String3[""L3""]","String7[""C3_3""]","String7[""D3_2""]","String7[""F3_3""]","String3[""L3""]","String3[""L3""]","String3[""L2""]","[""L0""]","String3[""L1""]","String3[""L_3""]","String3[""M_2""]","String7[""N3_1""]",[-1.0],[1],[3.101729270833335e6],Bool[0],Bool[1],[0],[0.4024554240685779],[1.508263518518518e8],[1.0],[20],[1],[3.2734218750000037e6],[0.0],[0.202872],[0.29105832946863747],[0.9944677601095165],[3.2408328125000014e6],[0.78],[17],[20],[0.9549675294046555],[0.9570778408777708],[2.324476996948172e-10],[1.5166540123456785e8],[0.44],[0],Bool[0],[0],[3.2734218750000037e6],[0.2043206],[1.508263518518518e8],[17],[1.438740613918738],Bool[0],[0.46],[0.0],Bool[0],[0],[0.9756849306562625],[0.46],[0.710392502279789],[0.955132571339267],[0],[0.6864384709085101],[0.559999558573216],Bool[0],[0.6866092848865708],[0.271664],[1.0],Bool[0],[0.0],Bool[1],[3.2408328125000014e6],[0.0],[0.5586370469211368],[3.0948901041666674e6],[0.0],[2.719950495049505e6],[1.2350038231330123],[-1.0],[1.0],Bool[0],[1.522533495736906],[0.4],Bool[1],[1.9716088328075707],[20],[0.9573512243901459],[0.78],[0.5456192296212895],Bool[0],Bool[1],[0],[2.8502321428571427e6],[2],[1.5166540123456785e8],[0.5760070088151789],[-1.0],[0.0],Bool[0],[1.2158659053297933],[3.0996509433962265e6],[3.0702447916666684e6],[1],[2.376332971026906e-10],Bool[1],Bool[0],[0.20287200000000002],[0.4],[2],Bool[1],[0.9944677601095165],[0.0],[2.8502321428571427e6],[20],[0.9830029969710811],[3.067835937500001e6],[0.6439121576394681],[0.38],[0.20432060000000005],[1],[1.4070888009586833],[0.06833600000000002],[2],[2],[0.711664],[0.06833600000000002],[0.271664]
"String3[""L1""]","String3[""L2""]","String3[""L2""]","String3[""L3""]","String3[""L1""]","String3[""L3""]","String7[""C3_2""]","String7[""D3_1""]","String7[""F3_3""]","String3[""L1""]","String3[""L2""]","String3[""L2""]","[""L0""]","String3[""L1""]","String3[""L_2""]","String3[""M_2""]","String7[""N3_2""]",[0.0],[5],[3.060700918367347e6],Bool[0],Bool[0],[3],[0.4351113185604425],[2.0102858469945353e8],[-1.0],[3],[3],[3.1840739795918334e6],[0.011686113468557455],[0.20130351200000002],[0.3729348364307943],[0.9801206971284239],[3.185428265306122e6],[0.96],[1],[20],[0.9635516282900097],[0.960844402525954],[6.384188768467641e-10],[2.0648985245901638e8],[0.52],[0],Bool[0],[0],[3.1840739795918334e6],[0.2011714],[2.0238497814207652e8],[3],[3.718710555627775e-10],Bool[1],[0.78],[0.0],Bool[0],[0],[0.9858228529659128],[0.78],[4.476164542524567e-11],[0.9636955902761349],[0],[4.9784120752111356e-11],[3.808527757303446e-11],Bool[0],[0.6300210355971005],[0.027259774613888482],[4.940711462450592],Bool[0],[0.0],Bool[0],[3.185428265306122e6],[0.0],[0.4575086393131062],[3.069324591836735e6],[0.0],[2.8893725490196072e6],[2.999116075429767e-10],[0.0],[4.940711462450592],Bool[1],[4.901960784313726],[0.2],Bool[0],[4.8828125],[20],[0.9611216667798922],[0.96],[4.8992053631574725e-11],Bool[0],Bool[1],[0],[2.684433333333333e6],[5],[2.0648985245901638e8],[0.6044712827879084],[-1.0],[0.0],Bool[0],[3.4754090766473925e-10],[2.8790566037735846e6],[3.078540816326533e6],[3],[6.630898199026971e-10],Bool[0],Bool[0],[0.20130351199999996],[0.06],[5],Bool[0],[0.9735518830851662],[0.0],[2.684433333333333e6],[10],[1.0],[3.0915994897959214e6],[0.2716607126254335],[0.46],[0.2011714],[5],[3.791865642309896e-10],[0.05402124870826293],[5],[5],[0.10328008187448343],[0.05402124870826293],[0.027259774613888482]
"String3[""L1""]","String3[""L2""]","String3[""L2""]","String3[""L3""]","String3[""L2""]","String3[""L3""]","String7[""C3_3""]","String7[""D3_2""]","String7[""F3_3""]","String3[""L3""]","String3[""L3""]","String3[""L2""]","[""L0""]","String3[""L2""]","String3[""L_3""]","String3[""M_2""]","String7[""N3_1""]",[0.0],[1],[3.247762412060305e6],Bool[0],Bool[0],[0],[0.6380392165433215],[1.7454790476190478e8],[-1.0],[20],[1],[3.4392537688442185e6],[0.7071067811865476],[0.21180859999999996],[0.6385335017567847],[0.8376651116372074],[3.434907135678393e6],[0.54],[11],[19],[0.9399824901456603],[0.9455168025725601],[8.80117257892847e-11],[2.0837432804232806e8],[0.26],[0],Bool[0],[0],[3.4392537688442185e6],[0.2049288],[1.7362923157894737e8],[11],[1.1956142054270162],Bool[0],[0.48],[0.0],Bool[0],[0],[0.9552032304509082],[0.48],[0.19612780247829037],[0.9403010974741096],[0],[0.21523678654173406],[0.46125030951628576],Bool[0],[0.7522038178856786],[0.1864930741448593],[1.0],Bool[0],[0.0],Bool[1],[3.434907135678393e6],[0.0],[0.4591379038886752],[3.228752562814073e6],[0.0],[2.8110425531914895e6],[0.972523227082379],[0.0],[1.0],Bool[0],[1.3368983957219254],[0.4],Bool[0],[1.6688918558077435],[18],[0.9458561156258268],[0.54],[0.4628014077739906],Bool[0],Bool[1],[0],[2.7301612903225804e6],[4],[2.0727762105263156e8],[0.5471358075611387],[-0.5],[0.0],Bool[0],[0.9619898400775589],[3.17612389380531e6],[3.2376834170854324e6],[1],[8.99827194533365e-11],Bool[1],Bool[0],[0.21180859999999999],[0.4],[5],Bool[1],[0.8376651116372072],[0.0],[2.7301612903225804e6],[20],[0.94777849625552],[3.2323090452261427e6],[0.5084461748654922],[0.28],[0.2049288],[1],[1.2025812910875147],[0.2635647675695672],[4],[5],[0.37436258721191673],[0.2635647675695672],[0.1864930741448593]
"String3[""L1""]","String3[""L2""]","String3[""L2""]","String3[""L3""]","String3[""L1""]","String3[""L3""]","String7[""C3_2""]","String7[""D3_1""]","String7[""F3_3""]","String3[""L1""]","String3[""L2""]","String3[""L2""]","[""L0""]","String3[""L2""]","String3[""L_2""]","String3[""M_2""]","String7[""N3_2""]",[0.0],[3],[3.122555960591139e6],Bool[0],Bool[0],[2],[0.6131780098932746],[1.969070052631579e8],[-1.0],[8],[2],[3.319209359605911e6],[0.0050840710551614526],[0.20411765999999998],[0.1740349568482314],[0.9620839213206885],[3.3251945812807954e6],[0.56],[2],[20],[0.9345694055461028],[0.939059620200751],[2.0315978457186865e-9],[2.0743151052631578e8],[0.26],[0],Bool[0],[0],[3.319209359605911e6],[0.20083460000000003],[1.97487703125e8],[3],[4.15469374679765e-11],Bool[1],[0.54],[0.0],Bool[0],[0],[0.948694053392384],[0.54],[6.007186256836693e-11],[0.9354240249634974],[0],[6.105697956244059e-11],[5.308417978993293e-10],Bool[0],[0.6266762428598064],[0.05931862533808416],[2.941176470588235],Bool[0],[0.0],Bool[0],[3.3251945812807954e6],[0.0],[0.27084546300340123],[3.107625123152715e6],[0.0],[2.86994e6],[3.3297259504582867e-10],[0.0],[2.941176470588235],Bool[1],[4.416961130742049],[0.22],Bool[0],[4.496402877697841],[20],[0.9398171826342531],[0.56],[5.401228114529255e-10],Bool[0],Bool[1],[0],[2.5090163934426233e6],[5],[2.05270765625e8],[0.39426195660694185],[1.0],[0.0],Bool[0],[3.332852895980971e-10],[2.818333333333333e6],[3.099366995073902e6],[2],[1.9216758636671916e-9],Bool[0],Bool[0],[0.20411766],[0.16],[5],Bool[0],[0.9492627458747513],[0.0],[2.5090163934426233e6],[11],[0.9453465866421553],[3.0970123152709454e6],[0.5206030529953072],[0.26],[0.20083460000000003],[3],[4.547075331944761e-11],[0.07545634043604288],[5],[5],[0.2350492274226827],[0.07545634043604288],[0.05931862533808416]
"String3[""L1""]","String3[""L2""]","String3[""L2""]","String3[""L3""]","String3[""L2""]","String3[""L3""]","String7[""C3_3""]","String7[""D3_2""]","String7[""F3_3""]","String3[""L3""]","String3[""L3""]","String3[""L2""]","[""L0""]","String3[""L3""]","String3[""L_3""]","String3[""M_2""]","String7[""N3_1""]",[-1.0],[2],[3.154073782383423e6],Bool[0],Bool[0],[0],[0.45537315020595054],[1.4603446857142857e8],[1.0],[20],[1],[3.348331606217618e6],[0.0010880000000000334],[0.201273404],[0.3813510716923964],[0.8758855666330926],[3.348127668393786e6],[0.3877551020408163],[16],[20],[0.9490009604625668],[0.9420410733311559],[4.3478203415936815e-11],[1.667277942857143e8],[0.3],[1],Bool[0],[0],[3.348331606217618e6],[0.2059866],[1.4603446857142857e8],[16],[1.273881393270139],Bool[0],[0.34],[0.0],Bool[0],[0],[0.9655609177102078],[0.32653061224489793],[0.6967745405604063],[0.949440349954711],[1],[0.6934400165518778],[0.6814855098784999],Bool[0],[0.7416067987478985],[0.01235599999999995],[1.950078003120125],Bool[0],[0.0],Bool[1],[3.348127668393786e6],[0.0],[0.3776856517252637],[3.177376373056997e6],[0.0],[2.913107843137255e6],[1.1005415554696745],[-1.0],[1.950078003120125],Bool[0],[1.2677484787018256],[0.4],Bool[0],[1.675603217158177],[20],[0.9423953802049416],[0.4],[0.6756937459181606],Bool[0],Bool[0],[0],[2.426157894736842e6],[2],[1.667277942857143e8],[0.7508756253133708],[1.0],[0.0],Bool[0],[1.0908024550861493],[3.014317307692308e6],[3.1941036269430136e6],[1],[4.7208752554446836e-11],Bool[0],Bool[0],[0.20127340399999996],[0.4],[2],Bool[1],[0.8758855666330926],[0.0],[2.426157894736842e6],[20],[0.9649320300247413],[3.202124352331613e6],[0.4310553388944272],[0.28],[0.2059866],[2],[1.2883869048763064],[0.17235599999999998],[2],[2],[0.287644],[0.17235599999999998],[0.01235599999999995]
"String3[""L1""]","String3[""L2""]","String3[""L2""]","String3[""L3""]","String3[""L1""]","String3[""L3""]","String7[""C3_2""]","String7[""D3_1""]","String7[""F3_3""]","String3[""L1""]","String3[""L2""]","String3[""L2""]","[""L0""]","String3[""L3""]","String3[""L_2""]","String3[""M_2""]","String7[""N3_2""]",[0.0],[5],[3.146129705882353e6],Bool[0],Bool[0],[3],[0.8282028379457095],[2.004130216216216e8],[1.0],[1],[3],[3.371575980392148e6],[0.011974268411890551],[0.20260325199999998],[0.7005969671209898],[0.9868660488102393],[3.366788725490192e6],[0.34],[1],[20],[0.9328621312360701],[0.9344600931037893],[4.496067218658568e-11],[2.058094972972973e8],[0.12],[0],Bool[0],[0],[3.371575980392148e6],[0.20125959999999998],[2.031064054054054e8],[2],[4.141137784647715e-10],Bool[1],[0.34],[0.0],Bool[0],[0],[0.9497297789326262],[0.34],[2.565522432736701e-10],[0.933508774216007],[0],[2.689397395436339e-10],[2.860064056245794e-10],Bool[0],[0.8752763178808821],[0.09552313822315513],[4.940711462450593],Bool[0],[0.0],Bool[0],[3.366788725490192e6],[0.0],[0.6060965968708881],[3.140749705882353e6],[0.0],[2.997471153846154e6],[1.9169364841066676e-10],[0.0],[4.940711462450593],Bool[1],[4.019292604501607],[0.2],Bool[0],[3.9936102236421713],[20],[0.9351326367931297],[0.34],[2.8113113814367064e-10],Bool[0],Bool[1],[0],[2.6999166666666665e6],[5],[2.058094972972973e8],[0.6136046137055641],[1.0],[0.0],Bool[0],[2.789685344604496e-10],[2.997471153846154e6],[3.1662769607843067e6],[3],[4.495339068779714e-11],Bool[0],Bool[0],[0.20260325199999998],[0.02],[5],Bool[0],[0.9737792679806203],[0.0],[2.6999166666666665e6],[10],[0.9466299014938929],[3.1563406862745136e6],[0.24807733889218023],[0.12],[0.20125959999999998],[5],[4.476268722321037e-10],[0.09117998648826398],[5],[5],[0.10463474535736203],[0.09117998648826398],[0.09552313822315513]
"String3[""L1""]","String3[""L2""]","String3[""L2""]","String3[""L3""]","String3[""L2""]","String3[""L3""]","String7[""C3_3""]","String7[""D3_2""]","String7[""F3_3""]","String3[""L3""]","String3[""L3""]","String3[""L2""]","[""L0""]","String3[""L1""]","String3[""L_1""]","String3[""M_1""]","String7[""N3_2""]",[0.0],[5],[3.0841327179487194e6],Bool[0],Bool[0],[3],[0.7371149518847717],[2.069886063829787e8],[0.0],[2],[3],[3.2336820512820533e6],[0.006681440784457686],[0.202094344],[0.4772075317577097],[0.9884469127929674],[3.201650256410258e6],[0.8775510204081632],[1],[20],[0.971103171473429],[0.963294698343066],[2.0448610405172258e-10],[2.0819617021276593e8],[0.52],[1],Bool[0],[0],[3.2336820512820533e6],[0.204529],[2.0579086170212764e8],[2],[1.3375464345268502],Bool[1],[0.88],[0.0],Bool[0],[0],[0.9919514178369422],[0.8775510204081632],[0.5717644101849588],[0.9712353962773466],[1],[0.5996853824852303],[0.6079507095034895],Bool[0],[0.8772823282373386],[0.13107635734944728],[4.699248120300752],Bool[0],[0.0],Bool[0],[3.201650256410258e6],[0.0],[0.536249757923131],[3.1091327179487185e6],[0.0],[2.6608207547169807e6],[0.6412348566416683],[0.0],[4.699248120300752],Bool[1],[4.921259842519685],[0.2],Bool[0],[5.122950819672131],[20],[0.9635117645060847],[0.88],[0.5988056300366285],Bool[0],Bool[1],[0],[2.9588545454545454e6],[9],[2.0819617021276593e8],[0.7639975644013252],[-1.0],[0.0],Bool[0],[0.6145891976557796],[3.3306390977443606e6],[3.058702564102565e6],[3],[2.0349981421051936e-10],Bool[0],Bool[0],[0.202094344],[0.04],[9],Bool[0],[0.9941998749133898],[0.0],[2.9588545454545454e6],[10],[1.0],[3.1146871794871795e6],[0.31588094770887665],[0.46],[0.204529],[5],[1.3304687487348283],[0.1410213156086696],[9],[9],[0.13775039548400578],[0.1410213156086696],[0.13107635734944728]
