X,Y,Z,E,A,B,C,D,F,G,H,I,J,K,L,M,N,prop_strict_med_pos,prop_qual_n_winning_parties,plur_util_winner_avg,prop_qual_min_govt_unstable,prop_qual_condorcet_winner,prop_strict_min_govt_size,spat_char_corr4,prop_strict_util_winner,major_qual_med_pos,prop_strict_unanimity,prop_qual_coalition_size,plur_util_max_med,prop_gallagher_index,tangian_adj_pop_parties,spat_char_corr5,prop_qual_util_eff,major_util_max_avg,major_cond_eff,prop_strict_nonzero_pos,major_qual_nonzero_pos,major_vse,plur_vse,spat_med_entropy1,prop_strict_util_max,major_util_max_elec_rate,major_cond_paradox,prop_qual_elec_failed,major_strict_nonzero_pos,major_util_max_med,tangian_raw_pop_body,prop_qual_util_winner,prop_qual_nonzero_pos,spat_med_entropy3,prop_strict_cond_paradox,plur_smith_eff,major_strict_med_pos,prop_strict_util_maxer_elected,prop_qual_min_govt_size,plur_util_eff_med,plur_cond_eff,spat_med_entropy2,major_util_eff_avg,plur_cond_paradox,spat_avg_entropy2,spat_med_entropy5,prop_strict_min_govt_unstable,spat_agg_dist_corr,plur_gallagher_index,prop_qual_n_parties_eff,prop_qual_util_maxer_elected,tangian_raw_uni_parties,prop_qual_single_party_win,plur_util_max_avg,tangian_adj_uni_parties,spat_char_corr2,major_util_winner_avg,tangian_adj_uni_body,plur_qual_social_util,spat_med_entropy4,prop_qual_med_pos,prop_strict_n_parties_eff,prop_strict_min_govt_elected,major_n_parties_eff,prop_qual_unanimity_rate,prop_qual_winner_smith,plur_n_parties_eff,plur_qual_nonzero_pos,plur_util_eff_avg,major_smith_eff,spat_avg_entropy5,prop_strict_elec_failed,prop_strict_winner_smith,plur_strict_nonzero_pos,major_strict_social_util,major_n_winning_parties,prop_qual_util_max,spat_char_corr3,plur_qual_med_pos,plur_strict_med_pos,prop_qual_cond_paradox,spat_avg_entropy4,major_qual_social_util,plur_util_winner_med,prop_strict_coalition_size,spat_avg_entropy1,prop_strict_condorcet_winner,prop_qual_min_govt_elected,tangian_raw_pop_parties,prop_strict_unanimity_rate,prop_strict_n_parties,prop_strict_single_party_win,prop_strict_util_eff,tangian_raw_uni_body,plur_strict_social_util,prop_qual_unanimity,major_util_eff_med,major_util_winner_med,spat_char_corr1,plur_util_max_elec_rate,tangian_adj_pop_body,prop_strict_n_winning_parties,spat_avg_entropy3,major_gallagher_index,plur_n_winning_parties,prop_qual_n_parties,prop_true_gallagher_index,maj_true_gallagher_index,plur_true_gallagher_index
"String3[""L1""]","String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L3""]","String3[""L1""]","String7[""C1_1""]","String7[""D1_1""]","String7[""F1_1""]","String3[""L1""]","String3[""L1""]","String3[""L1""]","[""L0""]","String3[""L2""]","String3[""L_2""]","String3[""M_1""]","String7[""N1_1""]",[-2.0],[3],[2.503744e6],Bool[0],Bool[0],[0],[-9.02358059569858e-5],[1.4376045e8],[2.0],[14],[2],[2.513575e6],[0.005193700800007663],[0.5000182960000001],[-0.05595848568639096],[0.7931123133666536],[2.516594e6],[0.82],[14],[20],[0.9922577896951197],[0.9948938923004664],[1.0986122882790128],[1.8126115e8],[0.18],[0],Bool[0],[20],[2.513575e6],[0.499422],[1.4376045e8],[14],[1.6094379117747966],Bool[0],[0.4],[2.0],Bool[0],[0],[0.9978593741028502],[0.4],[1.0986122882498925],[0.9922977761911688],[0],[1.0986122881572242],[0.6931471804157845],Bool[0],[0.0006167284219273244],[0.33101538277246273],[2.9976019184652274],Bool[0],[0.534],Bool[1],[2.516594e6],[0.534],[0.0002481014640780976],[2.49711e6],[0.478],[2.499166666666667e6],[1.60943791183191],[-2.0],[2.9976019184652274],Bool[0],[2.783964365256125],[0.28],Bool[0],[2.9550827423167845],[20],[0.9949073956571177],[0.82],[0.6931471802525642],Bool[0],Bool[0],[20],[2.491928571428572e6],[3],[1.8126115e8],[0.031077009295053533],[2.0],[2.0],Bool[0],[1.6094379116556687],[2.491928571428572e6],[2.50285e6],[2],[1.0986122879258364],Bool[0],Bool[0],[0.5000182960000001],[0.28],[3],Bool[1],[0.7931123133666536],[0.478],[2.499166666666667e6],[14],[0.9963061557278536],[2.498575e6],[0.01359564251548167],[0.26],[0.499422],[3],[1.6094379116727504],[0.17685492255518362],[3],[3],[0.2959010368890248],[0.17685492255518362],[0.33101538277246273]
"String3[""L1""]","String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L3""]","String3[""L2""]","String7[""C1_1""]","String7[""D1_2""]","String7[""F1_2""]","String3[""L1""]","String3[""L1""]","String3[""L2""]","[""L0""]","String3[""L3""]","String3[""L_1""]","String3[""M_1""]","String7[""N1_1""]",[0.0],[3],[3.85944425e6],Bool[0],Bool[0],[0],[0.35746285524697563],[2.161421756756758e8],[0.0],[20],[1],[3.88606875e6],[0.019147750983276892],[0.4473666320000001],[0.0025784048167035597],[0.9846037708345042],[3.90109725e6],[1.0],[1],[0],[0.9893227475936418],[0.9893227475936418],[0.8923572687640324],[2.195219864864866e8],[0.66],[0],Bool[0],[0],[3.88606875e6],[0.3998536],[2.161421756756758e8],[1],[1.2732852937011132],Bool[0],[1.0],[0.0],Bool[0],[0],[1.0],[1.0],[0.8647268097957304],[0.9895177525528317],[0],[0.823649330435275],[0.578654402066441],Bool[0],[0.35173535973766173],[0.018457462014047323],[1.9470404984423675],Bool[0],[0.686],Bool[1],[3.90109725e6],[0.686],[0.13794518313983156],[3.85944425e6],[0.539],[2.74945e6],[1.4129264143945544],[0.0],[1.9470404984423675],Bool[0],[2.1079258010118043],[0.4],Bool[0],[2.1079258010118043],[0],[0.9895177525528317],[1.0],[0.5170833871826226],Bool[0],Bool[1],[0],[2.74945e6],[3],[2.195219864864866e8],[0.24308207264028361],[0.0],[0.0],Bool[0],[1.3917449270564948],[2.74945e6],[3.81459375e6],[1],[0.8542956010780809],Bool[1],Bool[0],[0.44736663199999993],[0.4],[3],Bool[1],[0.9846037708345042],[0.539],[2.74945e6],[20],[1.0],[3.81459375e6],[0.2527939144613441],[0.66],[0.3998536],[3],[1.2346330029374912],[0.018457462014047323],[3],[3],[0.01618511365421944],[0.018457462014047323],[0.018457462014047323]
"String3[""L1""]","String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L2""]","String3[""L2""]","String7[""C1_2""]","String7[""D1_3""]","String7[""F1_1""]","String3[""L2""]","String3[""L3""]","String3[""L1""]","[""L0""]","String3[""L3""]","String3[""L_1""]","String3[""M_2""]","String7[""N1_2""]",[-2.0],[3],[2.706294e6],Bool[0],Bool[1],[0],[0.36645315173292736],[1.3455765e8],[2.0],[17],[2],[2.847525e6],[0.006123345296206118],[0.5002899199999999],[0.09745404607822483],[0.7176408],[2.901104e6],[0.9],[17],[20],[0.9200780116810704],[0.9328497013550704],[1.2572851061390462e-10],[1.875e8],[0.2],[0],Bool[0],[20],[2.847525e6],[0.5338484],[1.3455765e8],[17],[1.2353794574212242],Bool[0],[0.78],[2.0],Bool[0],[0],[0.9773322378171387],[0.78],[0.8641886629053446],[0.9245715522002707],[0],[0.8261337425780166],[0.6267578791147554],Bool[0],[0.29852825418436457],[0.3259556429945645],[2.735229759299781],Bool[0],[0.62],Bool[1],[2.901104e6],[0.62],[0.04071976706124771],[2.669242e6],[0.6729999999999999],[2.29065e6],[1.1704763548693355],[-2.0],[2.735229759299781],Bool[0],[2.566735112936345],[0.34],Bool[1],[2.413127413127413],[20],[0.9359404093101853],[0.9],[0.5965091951927487],Bool[0],Bool[1],[20],[2.434368421052631e6],[3],[1.875e8],[0.06696579318457797],[2.0],[2.0],Bool[0],[1.174457336026466],[2.434368421052631e6],[2.686225e6],[2],[2.4553027234311517e-10],Bool[1],Bool[0],[0.5002899199999999],[0.34],[3],Bool[1],[0.7176408],[0.6729999999999999],[2.29065e6],[17],[0.9678810000670479],[2.6736e6],[-0.014911590274714928],[0.24],[0.5338484],[3],[1.2373856301109163],[0.300139769440839],[3],[3],[0.008214694151336374],[0.300139769440839],[0.3259556429945645]
"String3[""L1""]","String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L3""]","String3[""L2""]","String7[""C1_3""]","String7[""D1_2""]","String7[""F1_3""]","String3[""L2""]","String3[""L1""]","String3[""L3""]","[""L0""]","String3[""L2""]","String3[""L_3""]","String3[""M_1""]","String7[""N1_1""]",[2.0],[3],[3.849586170212763e6],Bool[0],Bool[0],[0],[0.12431564762042022],[1.6700946183206105e8],[1.0],[20],[1],[4.1294751773049515e6],[0.01140363983540798],[0.17554084000000003],[0.15545592210854556],[0.7581105339601509],[4.1120667375886454e6],[0.26],[20],[20],[0.951385768447856],[0.9361682131818212],[0.936492447127539],[2.2221069083969465e8],[0.28],[0],Bool[0],[0],[4.1294751773049515e6],[0.2210372],[1.6764934482758623e8],[20],[1.4108850376573354],Bool[0],[0.16],[0.0],Bool[0],[0],[0.9377661650069339],[0.16],[0.9139313985064357],[0.9515088967145974],[0],[0.9171478489156327],[0.5482167267649982],Bool[0],[0.2514127321878595],[0.38968081759306555],[2.3277467411545625],Bool[0],[0.0],Bool[1],[4.1120667375886454e6],[0.0],[0.09164479652086026],[3.912161773049642e6],[0.0],[3.5190362694300516e6],[1.2453495032998088],[2.0],[2.3277467411545625],Bool[0],[3.443526170798898],[0.4],Bool[0],[2.7056277056277054],[20],[0.9365916819911928],[0.26],[0.501194182699163],Bool[0],Bool[0],[0],[3.399108108108108e6],[4],[2.21141030651341e8],[0.18704604721546225],[1.0],[0.0],Bool[0],[1.1532579166075123],[3.5126086956521743e6],[3.8756808510638336e6],[1],[0.9173839230866474],Bool[0],Bool[0],[0.17554083999999998],[0.4],[4],Bool[1],[0.7515815787303574],[0.0],[3.399108108108108e6],[20],[0.9506323780499686],[3.937163120567371e6],[0.08254993928680314],[0.18],[0.2210372],[3],[1.3647262972428158],[0.2381132915231739],[4],[4],[0.48291069526362734],[0.2381132915231739],[0.38968081759306555]
"String3[""L1""]","String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L2""]","String3[""L1""]","String7[""C1_1""]","String7[""D1_3""]","String7[""F1_2""]","String3[""L2""]","String3[""L2""]","String3[""L1""]","[""L0""]","String3[""L1""]","String3[""L_3""]","String3[""M_2""]","String7[""N1_2""]",[0.0],[2],[3.434846e6],Bool[0],Bool[0],[0],[0.043857022415102094],[2.142201558441559e8],[-2.0],[20],[1],[3.55681875e6],[0.0011039999999999939],[0.39543490000000003],[-0.06048415913627928],[0.9706034858741623],[3.621977e6],[0.58],[2],[20],[0.9663407580997891],[0.9483345697667324],[1.1452373621657876e-10],[2.2070820779220787e8],[0.38],[0],Bool[0],[0],[3.55681875e6],[0.3067566],[2.142201558441559e8],[2],[1.3568288089651452],Bool[0],[0.42],[0.0],Bool[0],[0],[0.9697378282135893],[0.42],[0.5306700452179771],[0.966962963700741],[0],[0.5306671939900349],[0.6931471804355316],Bool[0],[-0.007975847202768931],[0.3991640693048411],[2.0],Bool[0],[0.525],Bool[0],[3.621977e6],[0.525],[-0.054476945976104425],[3.500064e6],[0.25000000000000006],[3.2374246575342463e6],[1.3065745547077992],[0.0],[2.0],Bool[0],[2.323420074349442],[0.4],Bool[0],[2.2202486678507993],[20],[0.9507029153706152],[0.58],[0.6931471801208547],Bool[0],Bool[1],[2],[2.749e6],[3],[2.2070820779220787e8],[0.04079309536813128],[-2.0],[0.0],Bool[0],[1.3065747859663603],[3.1121904761904757e6],[3.37980625e6],[1],[1.145248640080804e-10],Bool[1],Bool[0],[0.39543490000000003],[0.4],[3],Bool[0],[0.9706034858741623],[0.25000000000000006],[3.00464e6],[20],[0.9891138577181373],[3.38744375e6],[0.05936231811521461],[0.36],[0.3067566],[2],[1.3568292810650908],[0.37926143255543404],[3],[3],[0.24998806816326252],[0.37926143255543404],[0.3991640693048411]
"String3[""L1""]","String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L2""]","String7[""C1_2""]","String7[""D1_1""]","String7[""F1_3""]","String3[""L2""]","String3[""L2""]","String3[""L1""]","[""L0""]","String3[""L3""]","String3[""L_2""]","String3[""M_1""]","String7[""N1_2""]",[1.0],[2],[3.606686232876712e6],Bool[0],Bool[0],[0],[0.15488865566712928],[1.8390868339768338e8],[1.0],[20],[1],[4.015777397260276e6],[0.005840338639480108],[0.17785744799999997],[0.27585609171868786],[0.8300703430318281],[3.982185136986302e6],[0.24],[19],[20],[0.9238130479853056],[0.9057053122362447],[2.5196168375069825e-10],[2.225228301158301e8],[0.14],[0],Bool[0],[0],[4.015777397260276e6],[0.1850798],[1.84621507751938e8],[19],[2.429172905644292e-10],Bool[0],[0.1],[0.0],Bool[0],[0],[0.9075086445138114],[0.1],[1.2921202903048873e-10],[0.9252730341441255],[0],[2.675597826643887e-10],[2.9344763931140325e-10],Bool[0],[0.2249878903178681],[0.4455969676198437],[1.996805111821086],Bool[0],[0.0],Bool[1],[3.982185136986302e6],[0.0],[0.1418094043487796],[3.6787945890410976e6],[0.0],[3.3450778688524594e6],[6.321430643591728e-11],[1.0],[1.996805111821086],Bool[0],[1.944012441679627],[0.4],Bool[0],[2.059308072487644],[20],[0.9070601022351238],[0.24],[3.1260829875165975e-10],Bool[0],Bool[0],[0],[3.1859857142857146e6],[3],[2.2241670155038762e8],[0.10969452097226004],[-2.0],[0.0],Bool[0],[8.450782335174962e-11],[3.499140776699029e6],[3.5706986301369807e6],[1],[3.744023696637504e-10],Bool[0],Bool[0],[0.17785744800000003],[0.4],[3],Bool[1],[0.8264710785044086],[0.0],[3.1859857142857146e6],[20],[0.9267555616459036],[3.65732191780822e6],[0.23370267661489633],[0.08],[0.1850798],[2],[4.5128096947146307e-10],[0.4588710685497616],[3],[3],[0.45949574269192095],[0.4588710685497616],[0.4455969676198437]
"String3[""L1""]","String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L2""]","String3[""L3""]","String7[""C1_2""]","String7[""D1_3""]","String7[""F1_1""]","String3[""L2""]","String3[""L2""]","String3[""L2""]","[""L0""]","String3[""L3""]","String3[""L_1""]","String3[""M_1""]","String7[""N1_2""]",[-2.0],[2],[2.535666e6],Bool[0],Bool[1],[0],[0.5678828328333444],[1.281677e8],[-2.0],[20],[1],[2.611425e6],[0.001313131313131266],[0.501990032],[0.2967174584325934],[1.0],[2.655414e6],[0.94],[20],[20],[0.9553500885361003],[0.9549042070276047],[1.511184324712389e-10],[1.281677e8],[0.12],[0],Bool[0],[20],[2.611425e6],[0.50737],[1.281677e8],[20],[1.347516047887324],Bool[0],[0.88],[-2.0],Bool[1],[0],[0.980641374489091],[0.88],[0.4139240514034688],[0.9571759777836567],[0],[0.4245849555738905],[0.3974504873305981],Bool[0],[0.6977492187782612],[0.01849999999999999],[1.675603217158177],Bool[1],[0.54],Bool[1],[2.655414e6],[0.54],[0.6343579479291975],[2.53685e6],[0.6110000000000001],[2.6679e6],[1.1162414247486194],[-2.0],[1.675603217158177],Bool[0],[1.675603217158177],[0.4],Bool[1],[1.6254876462938883],[20],[0.9567097174010523],[0.94],[0.4135717610048769],Bool[0],Bool[1],[20],[2.6532e6],[2],[1.281677e8],[0.24832746868555017],[-2.0],[-2.0],Bool[0],[1.1124148374507714],[2.6532e6],[2.528225e6],[1],[1.4874154925545553e-10],Bool[1],Bool[0],[0.501990032],[0.4],[2],Bool[1],[1.0],[0.6110000000000001],[2.6679e6],[20],[0.980641374489091],[2.528225e6],[0.4221926900820124],[0.14],[0.50737],[2],[1.34047341568192],[0.001500000000000029],[2],[2],[0.001500000000000029],[0.001500000000000029],[0.01849999999999999]
"String3[""L1""]","String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L2""]","String3[""L2""]","String7[""C1_3""]","String7[""D1_1""]","String7[""F1_2""]","String3[""L3""]","String3[""L3""]","String3[""L2""]","[""L0""]","String3[""L1""]","String3[""L_1""]","String3[""M_1""]","String7[""N1_2""]",[0.0],[3],[4.04298909090891e6],Bool[0],Bool[0],[0],[0.16947208925459306],[2.131975492957747e8],[0.0],[20],[1],[4.1285259740257715e6],[0.016811811454668042],[0.45069945600000005],[0.4153990680749878],[0.9837504999331258],[4.0990394805192854e6],[0.88],[2],[0],[0.9903732911264255],[0.9863259698090845],[7.66464483163674e-11],[2.167191267605634e8],[0.72],[0],Bool[0],[0],[4.1285259740257715e6],[0.46688720000000006],[2.131975492957747e8],[2],[1.2394219214956554],Bool[0],[0.78],[0.0],Bool[0],[0],[1.0],[0.78],[0.5184424720048296],[0.9904069448556236],[0],[0.5125205995372513],[0.5622187895286335],Bool[0],[0.399012712067084],[0.1918948364912407],[2.025931928687196],Bool[0],[0.6540000000000001],Bool[1],[4.0990394805192854e6],[0.6540000000000001],[0.10482672639279614],[4.059579220779038e6],[0.699],[2.8805e6],[1.0803054177246856],[0.0],[2.025931928687196],Bool[0],[1.226692836113837],[0.4],Bool[0],[1.3340448239060834],[0],[0.9862889346694975],[0.88],[0.5097134586586858],Bool[0],Bool[1],[0],[2.8805e6],[3],[2.167191267605634e8],[0.1990350530500532],[0.0],[0.0],Bool[0],[1.10187309236953],[2.8805e6],[4.1212272727270667e6],[1],[1.5351165925915127e-10],Bool[1],Bool[0],[0.450699456],[0.4],[3],Bool[1],[0.9837504999331258],[0.699],[2.8805e6],[20],[1.0],[4.1197142857140815e6],[-0.006030778940517865],[0.64],[0.46688720000000006],[3],[1.2241889269689024],[0.22529222860986575],[3],[3],[0.017539334993094836],[0.22529222860986575],[0.1918948364912407]
"String3[""L1""]","String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L3""]","String3[""L2""]","String7[""C1_1""]","String7[""D1_1""]","String7[""F1_1""]","String3[""L2""]","String3[""L1""]","String3[""L3""]","[""L0""]","String3[""L3""]","String3[""L_2""]","String3[""M_1""]","String7[""N1_1""]",[1.0],[3],[2.497657e6],Bool[0],Bool[0],[0],[0.3100569929400521],[1.56192e8],[2.0],[10],[2],[2.512925e6],[0.007376013015172892],[0.5000044],[0.0890714942697735],[0.833024],[2.515429e6],[0.12],[10],[20],[0.9946943443841985],[0.9929348035663101],[0.9193368553640123],[1.875e8],[0.22],[0],Bool[0],[20],[2.512925e6],[0.5004166],[1.56192e8],[10],[1.398681602005067],Bool[0],[0.08],[2.0],Bool[0],[0],[0.9966466467950432],[0.08],[0.8381546417943984],[0.9947079395958078],[0],[0.8273608207962491],[0.6189490898152799],Bool[0],[0.4592738309339843],[0.263474629640123],[2.983293556085919],Bool[0],[0.524],Bool[0],[2.515429e6],[0.524],[0.3366510268280766],[2.502083e6],[0.5209999999999999],[2.516e6],[1.395493687766618],[1.0],[2.983293556085919],Bool[0],[2.025931928687196],[0.2],Bool[0],[2.7777777777777772],[20],[0.9929624356566539],[0.12],[0.5541623854738147],Bool[0],Bool[0],[20],[2.3314666666666665e6],[3],[1.875e8],[0.19888278196229883],[2.0],[2.0],Bool[0],[1.3731777562588092],[2.3314666666666665e6],[2.499675e6],[2],[0.8611368118937923],Bool[0],Bool[0],[0.5000044],[0.2],[3],Bool[0],[0.833024],[0.5209999999999999],[2.516e6],[10],[0.997432026229528],[2.50175e6],[0.15000749899988075],[0.22],[0.5004166],[3],[1.3501391322060812],[0.02252643922150145],[3],[3],[0.27637467406403216],[0.02252643922150145],[0.263474629640123]
"String3[""L1""]","String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L1""]","String7[""C1_1""]","String7[""D1_2""]","String7[""F1_2""]","String3[""L1""]","String3[""L2""]","String3[""L2""]","[""L0""]","String3[""L3""]","String3[""L_1""]","String3[""M_1""]","String7[""N1_1""]",[0.0],[3],[3.9286865e6],Bool[0],Bool[0],[0],[-0.018143761857380238],[2.0772583098591554e8],[0.0],[20],[1],[3.9970375e6],[0.013945126620932106],[0.436102816],[0.036361919072482485],[0.9517168937054352],[3.9632615e6],[1.0],[3],[0],[0.9919592739464707],[0.9912761244747539],[1.1452362180859125e-10],[2.1826430985915494e8],[0.72],[0],Bool[0],[0],[3.9970375e6],[0.41831680000000004],[2.0772583098591554e8],[3],[1.1452394538519253e-10],Bool[0],[0.98],[0.0],Bool[0],[0],[1.0],[0.98],[1.1452505450840756e-10],[0.9917009776131533],[0],[1.1452424821068278e-10],[1.1452375771636757e-10],Bool[0],[-0.007444924465972117],[0.06391396066588269],[1.9470404984423675],Bool[0],[0.6500000000000001],Bool[1],[3.9632615e6],[0.6500000000000001],[-0.022479335711167853],[3.931394e6],[0.595],[2.749e6],[1.1452365922172717e-10],[0.0],[1.9470404984423675],Bool[0],[1.71939477303989],[0.4],Bool[0],[1.71939477303989],[0],[0.9910338037382778],[1.0],[1.1452388524234021e-10],Bool[0],Bool[1],[0],[2.749e6],[3],[2.1826430985915494e8],[-0.01867642532472587],[0.0],[0.0],Bool[0],[1.145239691672394e-10],[2.749e6],[3.93905625e6],[1],[1.1452377615468558e-10],Bool[1],Bool[0],[0.436102816],[0.4],[3],Bool[1],[0.9517168937054352],[0.595],[2.749e6],[20],[1.0],[3.9421875e6],[0.006628564007671071],[0.7],[0.41831680000000004],[3],[1.1452439354019564e-10],[0.06391396066588269],[3],[3],[0.01363650864407751],[0.06391396066588269],[0.06391396066588269]
"String3[""L1""]","String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L1""]","String7[""C1_2""]","String7[""D1_1""]","String7[""F1_3""]","String3[""L2""]","String3[""L3""]","String3[""L3""]","[""L0""]","String3[""L2""]","String3[""L_2""]","String3[""M_2""]","String7[""N1_2""]",[2.0],[2],[3.883782541806021e6],Bool[0],Bool[0],[0],[0.007238563890328257],[1.64502396e8],[-1.0],[20],[1],[4.172752508361214e6],[0.003138049158602746],[0.16722350000000002],[-0.002961651849175315],[0.7459943137649736],[4.110211571906358e6],[0.42],[18],[18],[0.9732988380697242],[0.944910614419949],[1.1452393534551673e-10],[2.20514276e8],[0.4],[0],Bool[0],[0],[4.172752508361214e6],[0.218414],[1.64502396e8],[18],[1.1452250697973108e-10],Bool[0],[0.22],[0.0],Bool[0],[0],[0.9510733933491384],[0.22],[1.1452441125764497e-10],[0.9732610115619085],[0],[1.1452356322568113e-10],[1.1452446876103848e-10],Bool[0],[-0.031835531697133435],[0.2941791857490941],[2.0],Bool[0],[0.0],Bool[0],[4.110211571906358e6],[0.0],[-0.026793996888522336],[4.0004641471571927e6],[0.0],[3.568639455782313e6],[1.1452310208723852e-10],[2.0],[2.0],Bool[0],[2.9976019184652274],[0.4],Bool[0],[2.6315789473684212],[20],[0.9450004815777058],[0.42],[1.1452477247231736e-10],Bool[0],Bool[0],[0],[3.239472222222222e6],[3],[2.20514276e8],[0.0038965408780626985],[-1.0],[0.0],Bool[0],[1.1452350556905618e-10],[3.327425925925926e6],[3.9093177257525087e6],[1],[1.1452418023976536e-10],Bool[0],Bool[0],[0.16722349999999997],[0.4],[3],Bool[0],[0.7459943137649736],[0.0],[3.239472222222222e6],[20],[0.9872388207763922],[4.0626889632106973e6],[-0.05443938994413686],[0.26],[0.218414],[2],[1.1452316000458768e-10],[0.15618845452849578],[3],[3],[0.4504084738634477],[0.15618845452849578],[0.2941791857490941]
"String3[""L1""]","String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","String3[""L3""]","String7[""C1_1""]","String7[""D1_3""]","String7[""F1_2""]","String3[""L2""]","String3[""L1""]","String3[""L3""]","[""L0""]","String3[""L3""]","String3[""L_3""]","String3[""M_1""]","String7[""N1_2""]",[2.0],[2],[3.424169e6],Bool[0],Bool[0],[0],[0.6081314968628069],[1.583885633802817e8],[2.0],[20],[1],[4.13139375e6],[0.007312628588223791],[0.297362768],[0.28745099446831907],[0.7258536386376377],[4.120478e6],[0.0],[17],[20],[0.8437559914165298],[0.8310125669885873],[5.602777899038153e-10],[2.182100563380282e8],[0.02],[0],Bool[0],[0],[4.13139375e6],[0.30099519999999996],[1.583885633802817e8],[17],[1.1714574593461494e-9],Bool[0],[0.0],[0.0],Bool[0],[0],[0.8200812600017464],[0.0],[1.4412185975182274e-10],[0.8444435424185079],[0],[1.4928854457805599e-10],[1.1938993459796754e-10],Bool[0],[0.501998746742051],[0.3994639207938559],[1.996805111821086],Bool[0],[0.22199999999999998],Bool[1],[4.120478e6],[0.22199999999999998],[0.46857423106348234],[3.476678e6],[0.23300000000000004],[2.937108695652174e6],[3.693711913106077e-11],[2.0],[1.996805111821086],Bool[0],[2.147766323024055],[0.4],Bool[0],[2.158894645941278],[19],[0.8316875648547642],[0.0],[1.2319361924609163e-10],Bool[0],Bool[0],[0],[2.74735e6],[3],[2.182100563380282e8],[0.41368308497740014],[2.0],[0.0],Bool[0],[5.013820932184499e-11],[3.0448048780487804e6],[3.365675e6],[1],[5.871563100678487e-10],Bool[0],Bool[0],[0.297362768],[0.4],[3],Bool[1],[0.7258536386376377],[0.23300000000000004],[2.74735e6],[20],[0.8288142728212236],[3.37126875e6],[0.49588142350977177],[0.02],[0.30099519999999996],[2],[1.2212656176247703e-9],[0.40099594014902445],[3],[3],[0.43406228126387575],[0.40099594014902445],[0.3994639207938559]
"String3[""L1""]","String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L2""]","String3[""L2""]","String7[""C1_3""]","String7[""D1_1""]","String7[""F1_2""]","String3[""L3""]","String3[""L3""]","String3[""L2""]","[""L0""]","String3[""L1""]","String3[""L_1""]","String3[""M_1""]","String7[""N1_2""]",[0.0],[3],[4.14723675e6],Bool[0],Bool[0],[0],[0.21420358446534787],[1.9984380519480526e8],[0.0],[20],[1],[4.22506875e6],[0.01360981718330122],[0.3801037399999999],[0.5049099418388966],[0.8978146506594615],[4.21009225e6],[0.8],[7],[0],[0.9858659866657317],[0.9850702796357966],[2.4613102901240507e-10],[2.225891558441559e8],[0.66],[0],Bool[0],[0],[4.22506875e6],[0.4835128],[1.9984380519480526e8],[7],[1.0760363871073313],Bool[0],[0.7],[0.0],Bool[0],[0],[1.0],[0.7],[0.5399504108269029],[0.9860844007994296],[0],[0.5115747465182519],[0.5822306758436181],Bool[0],[0.38949602703678105],[0.26936868619793203],[2.1079258010118043],Bool[0],[0.461],Bool[1],[4.21009225e6],[0.461],[-0.08184327022089283],[4.15058675e6],[0.7430000000000001],[2.8991e6],[1.2431978016558216],[0.0],[2.1079258010118043],Bool[0],[1.0831889081455806],[0.4],Bool[0],[1.1291779584462511],[0],[0.9852383366851529],[0.8],[0.49626572111258327],Bool[0],Bool[1],[0],[2.8991e6],[2],[2.225891558441559e8],[0.11295596781900623],[0.0],[0.0],Bool[0],[1.1869889876239232],[2.8991e6],[4.1592e6],[1],[5.409032996649075e-10],Bool[1],Bool[0],[0.38010374],[0.4],[3],Bool[1],[0.8978146506594615],[0.7430000000000001],[2.8991e6],[20],[1.0],[4.15751875e6],[0.34465941533649963],[0.66],[0.4835128],[3],[0.9548224601561194],[0.2876995118244033],[3],[3],[0.010607973604793704],[0.2876995118244033],[0.26936868619793203]
