X,Y,Z,E,A,B,C,D,F,G,H,I,J,K,L,M,N,prop_strict_med_pos,plur_util_from_winner_avg,prop_qual_min_govt_unstable,prop_qual_condorcet_winner,prop_strict_min_govt_size,spat_char_corr4,prop_strict_util_from_winner,major_qual_med_pos,prop_strict_unanimity,prop_qual_coalition_size,plur_util_from_max_med,prop_gallagher_index,tangian_adj_pop_parties,spat_char_corr5,prop_qual_util_eff,major_util_from_max_avg,major_cond_eff,prop_strict_nonzero_pos,major_qual_nonzero_pos,major_vse,plur_vse,spat_med_entropy1,prop_strict_util_from_max,major_util_max_elec_rate,major_cond_paradox,prop_qual_elec_failed,major_strict_nonzero_pos,major_util_from_max_med,tangian_raw_pop_body,prop_qual_util_from_winner,prop_qual_nonzero_pos,spat_med_entropy3,prop_strict_cond_paradox,plur_smith_eff,major_strict_med_pos,prop_strict_util_max_elec,prop_qual_min_govt_size,plur_util_eff_med,plur_cond_eff,spat_med_entropy2,major_util_eff_avg,plur_cond_paradox,spat_avg_entropy2,spat_med_entropy5,prop_strict_min_govt_unstable,spat_agg_dist_corr,plur_gallagher_index,prop_qual_util_max_elec,tangian_raw_uni_parties,prop_qual_single_party_win,plur_util_from_max_avg,tangian_adj_uni_parties,spat_char_corr2,major_util_from_winner_avg,tangian_adj_uni_body,plur_qual_social_util,spat_med_entropy4,prop_qual_med_pos,prop_strict_min_govt_elec,prop_qual_unanimity_rate,plur_qual_nonzero_pos,prop_qual_winner_smith,plur_util_eff_avg,major_smith_eff,spat_avg_entropy5,prop_strict_elec_failed,prop_strict_winner_smith,plur_strict_nonzero_pos,major_strict_social_util,prop_qual_util_from_max,spat_char_corr3,plur_qual_med_pos,plur_strict_med_pos,prop_qual_cond_paradox,spat_avg_entropy4,major_qual_social_util,plur_util_from_winner_med,prop_strict_coalition_size,spat_avg_entropy1,prop_strict_condorcet_winner,prop_qual_min_govt_elec,tangian_raw_pop_parties,prop_strict_unanimity_rate,prop_strict_single_party_win,prop_strict_util_eff,tangian_raw_uni_body,plur_strict_social_util,prop_qual_unanimity,major_util_eff_med,major_util_from_winner_med,spat_char_corr1,plur_util_max_elec_rate,tangian_adj_pop_body,spat_avg_entropy3,major_gallagher_index
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L3""]","String3[""L2""]","String3[""L3""]","String7[""C3_1""]","String7[""D3_2""]","String7[""F3_2""]","String3[""L3""]","String3[""L3""]","String3[""L1""]","String3[""L3""]","String3[""L1""]","[""L0""]","[""L0""]","[""L0""]",[-1.0],[4.1649609284896813e6],Bool[0],Bool[0],[0],[0.7872693363684431],[2.0664589815112787e8],[0.0],[20],[1],[4.227435147616563e6],[0.6651315659326356],[0.32443639199999996],[0.6016445809594979],[0.8958462034081796],[4.2359650024059275e6],[0.96],[14],[0],[0.9901772640105897],[0.9832378044020861],[9.992856434365703e-11],[2.3067117699997956e8],[0.6],[0],Bool[0],[0],[4.227435147616563e6],[0.4233566],[2.0664589815112787e8],[14],[1.0765549486370833],Bool[0],[0.72],[0.0],Bool[0],[0],[0.9906605341423277],[0.72],[0.4486137782806159],[0.9902024014244734],[0],[0.5682852871351295],[0.6771621182891032],Bool[0],[0.9361419915648479],[0.11297228856671004],Bool[0],[0.306],Bool[1],[4.2359650024059275e6],[0.306],[0.6460309765804985],[4.194356236526912e6],[0.609],[3.7429585998952202e6],[1.2388946826895735],[-1.0],Bool[1],[0.4],[0],Bool[0],[0.9832609464802812],[0.96],[0.6607643800427415],Bool[0],Bool[0],[0],[3.7429585998952202e6],[2.3067117699997956e8],[0.8498013219931162],[0.0],[0.0],Bool[0],[1.240791161068571],[3.7429585998952202e6],[4.1712530622286852e6],[1],[1.08623979332999e-10],Bool[0],Bool[1],[0.32443639199999996],[0.4],Bool[1],[0.8958462034081796],[0.609],[3.7429585998952202e6],[20],[1.0],[4.192087211770042e6],[0.17073722738476083],[0.4],[0.4233566],[1.096940833030738],[0.0946937061477689]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L3""]","String3[""L3""]","String3[""L1""]","String7[""C3_2""]","String7[""D3_1""]","String7[""F3_3""]","String3[""L1""]","String3[""L3""]","String3[""L2""]","String3[""L2""]","String3[""L3""]","[""L0""]","[""L0""]","[""L0""]",[0.0],[4.398897462865051e6],Bool[0],Bool[0],[0],[-0.021164287310245725],[2.1889036814806113e8],[0.0],[20],[1],[4.475539286419453e6],[0.25707213812673624],[0.225617032],[0.034976700200538585],[0.9476627382970351],[4.47930510020262e6],[0.6530612244897959],[14],[13],[0.9853570517011697],[0.9820490822708344],[1.0986122883103713],[2.3097918626769108e8],[0.24],[1],Bool[0],[0],[4.475539286419453e6],[0.2280068],[2.1886794996567512e8],[14],[1.609437911736824],Bool[0],[0.38],[0.0],Bool[0],[0],[0.9831282456366247],[0.3673469387755102],[1.0986122883954026],[0.985388445965215],[1],[1.0986122881207314],[0.6931471803741054],Bool[0],[0.053565082550643864],[0.08111399021130698],Bool[0],[0.0],Bool[1],[4.47930510020262e6],[0.0],[-0.015152380662134826],[4.413714867205666e6],[0.0],[4.183226250770195e6],[1.6094379116974142],[0.0],Bool[1],[0.4],[14],Bool[0],[0.9820722516879324],[0.66],[0.6931471801285816],Bool[0],Bool[1],[0],[3.8129099674386075e6],[2.3095552997998452e8],[0.014043319905739376],[0.0],[0.0],Bool[0],[1.6094379115047837],[3.826536572750077e6],[4.40590758157317e6],[1],[1.0986122880514408],Bool[1],Bool[1],[0.225617032],[0.4],Bool[1],[0.9476627382970354],[0.0],[3.8129099674386075e6],[20],[0.986690682543556],[4.412944216323938e6],[0.09817657700612137],[0.12],[0.2280068],[1.6094379116347215],[0.04946634621639243]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L3""]","String3[""L2""]","String3[""L3""]","String7[""C3_3""]","String7[""D3_3""]","String7[""F3_2""]","String3[""L3""]","String3[""L3""]","String3[""L1""]","String3[""L2""]","String3[""L3""]","[""L0""]","[""L0""]","[""L0""]",[0.0],[4.1416749773567487e6],Bool[0],Bool[0],[0],[0.8367587175860262],[1.9491461001327044e8],[0.0],[20],[1],[4.227461225358072e6],[0.6791170738539858],[0.37618068799999993],[0.2569037555322036],[0.880971558810471],[4.214679052602882e6],[0.8163265306122449],[10],[2],[0.9845435297645514],[0.9826786157771498],[4.079494650441858e-11],[2.2124960569266647e8],[0.44],[1],Bool[0],[0],[4.227461225358072e6],[0.3977024],[1.9491461001327044e8],[10],[0.8702614228073331],Bool[0],[0.66],[0.0],Bool[0],[0],[0.9942010557826066],[0.6530612244897959],[0.8007264393986528],[0.984667997031712],[1],[0.813994474177511],[0.4977140052995601],Bool[0],[0.811237826845464],[0.11503382410404342],Bool[0],[0.292],Bool[1],[4.214679052602882e6],[0.292],[0.22170294921083494],[4.1495349912743564e6],[0.278],[3.567265224146501e6],[1.4116927962033734],[0.0],Bool[1],[0.4],[1],Bool[0],[0.9827007347652958],[0.82],[0.5158390328420905],Bool[0],Bool[0],[0],[3.391983981618975e6],[2.2124960569266647e8],[0.36759128074424097],[0.0],[0.0],Bool[0],[1.395267924709462],[3.679809821447458e6],[4.146846674257324e6],[1],[4.56142983737743e-11],Bool[0],Bool[1],[0.37618068799999993],[0.4],Bool[1],[0.880971558810471],[0.278],[3.391983981618975e6],[20],[0.9948046547763296],[4.148946504463666e6],[0.2680861918332839],[0.44],[0.3977024],[0.8759980750946617],[0.1444863339143187]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L3""]","String3[""L1""]","String3[""L3""]","String7[""C3_1""]","String7[""D3_1""]","String7[""F3_3""]","String3[""L1""]","String3[""L1""]","String3[""L3""]","String3[""L3""]","String3[""L3""]","[""L0""]","[""L0""]","[""L0""]",[0.0],[4.372359491870094e6],Bool[0],Bool[0],[3],[0.24814216826185945],[2.2839869566566634e8],[-0.5],[2],[3],[4.431275955332093e6],[0.011082014979235503],[0.208086676],[0.28538021037210354],[0.9927691619701168],[4.439422847376991e6],[0.56],[2],[17],[0.9841478054997729],[0.9848936769908005],[1.3279809227852986e-10],[2.3116636887740362e8],[0.3],[0],Bool[0],[0],[4.431275955332093e6],[0.2280704],[2.2944896915350023e8],[3],[5.7417849476629294e-11],Bool[0],[0.3],[0.0],Bool[0],[0],[0.9905803419759311],[0.3],[1.4176619891191798e-10],[0.9842051212249275],[0],[1.501658182881762e-10],[2.554060270546181e-10],Bool[0],[0.4907320946541464],[0.07886451075103426],Bool[0],[0.0],Bool[0],[4.439422847376991e6],[0.0],[0.1134792347537917],[4.369048252931619e6],[0.0],[4.012905666901911e6],[1.2213349696588618e-10],[0.0],Bool[1],[0.22],[17],Bool[0],[0.9849305792699145],[0.56],[2.5241845669551825e-10],Bool[0],Bool[0],[0],[3.840454619759819e6],[2.3112016160752466e8],[0.5904369925644685],[-1.0],[0.0],Bool[0],[1.2515411553716867e-10],[3.6914409322274467e6],[4.3797279148076065e6],[3],[1.3102025128732142e-10],Bool[0],Bool[1],[0.208086676],[0.04],Bool[0],[0.9880273535238809],[0.0],[3.840454619759819e6],[11],[0.9925268280078448],[4.387829876868006e6],[0.34181625191325454],[0.28],[0.2280704],[5.783880408140311e-11],[0.10115261269982105]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L3""]","String3[""L3""]","String3[""L1""]","String7[""C3_3""]","String7[""D3_1""]","String7[""F3_2""]","String3[""L2""]","String3[""L1""]","String3[""L2""]","String3[""L2""]","String3[""L2""]","[""L0""]","[""L0""]","[""L0""]",[0.0],[4.56493740957719e6],Bool[0],Bool[0],[2],[0.11537182195687926],[2.2944168839730746e8],[0.0],[8],[2],[4.588013913081411e6],[0.008982559100835346],[0.40880036],[0.004179994473331721],[0.9877672938213476],[4.590407279106437e6],[1.0],[3],[0],[0.9943705776430353],[0.9944515011456228],[1.0986122880791662],[2.3373602630090672e8],[0.48],[0],Bool[0],[0],[4.588013913081411e6],[0.4358634],[2.3087680216780198e8],[2],[1.6094379117133883],Bool[0],[0.84],[0.0],Bool[0],[0],[0.9999635291060254],[0.84],[1.0986122879975586],[0.9943812499546386],[0],[1.098612287914194],[0.6931471803257149],Bool[0],[0.04262855392733955],[0.0816914093892375],Bool[0],[0.542],Bool[0],[4.590407279106437e6],[0.542],[0.011355501859821336],[4.564565937741862e6],[0.614],[3.978999537818283e6],[1.6094379117385322],[0.0],Bool[1],[0.32],[0],Bool[0],[0.9944483324440356],[1.0],[0.6931471801889957],Bool[0],Bool[0],[0],[3.978999537818283e6],[2.3373602630090672e8],[-0.02322388624450987],[0.0],[0.0],Bool[0],[1.6094379115852484],[3.978999537818283e6],[4.55743919667975e6],[2],[1.0986122878720326],Bool[0],Bool[1],[0.4088003600000001],[0.16],Bool[0],[0.9816274026235441],[0.614],[3.978999537818283e6],[16],[0.9998826826012011],[4.558431233107342e6],[-0.0036015637728819463],[0.5],[0.4358634],[1.6094379115506172],[0.11623926345258731]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L3""]","String3[""L3""]","String3[""L2""]","String7[""C3_1""]","String7[""D3_3""]","String7[""F3_2""]","String3[""L2""]","String3[""L3""]","String3[""L1""]","String3[""L1""]","String3[""L3""]","[""L0""]","[""L0""]","[""L0""]",[0.0],[4.207745500422168e6],Bool[0],Bool[0],[0],[0.071226262737327],[2.134164619047838e8],[0.0],[20],[1],[4.326592011809911e6],[0.6931089380465382],[0.38670593599999986],[0.05149511027595307],[0.9609365087791372],[4.335509648586507e6],[0.62],[10],[0],[0.9798302673132976],[0.9705307660413133],[0.8837647648775454],[2.2209215692712918e8],[0.36],[0],Bool[0],[0],[4.326592011809911e6],[0.4121472],[2.134164619047838e8],[10],[1.2535475966945402],Bool[0],[0.38],[0.0],Bool[0],[0],[0.9699994431480572],[0.38],[0.9796744566439115],[0.9799076697330696],[0],[0.9353176438261107],[0.5962612256217734],Bool[0],[0.40326177384987744],[0.06421800756797115],Bool[0],[0.497],Bool[1],[4.335509648586507e6],[0.497],[0.24081291418651846],[4.248063577913898e6],[0.575],[3.6812479240002893e6],[1.4481634271793977],[0.0],Bool[1],[0.4],[0],Bool[0],[0.9706672523993101],[0.62],[0.5593539095739852],Bool[0],Bool[1],[0],[3.6812479240002893e6],[2.2209215692712918e8],[0.4838360020792775],[0.0],[0.0],Bool[0],[1.3839978876049404],[3.6812479240002893e6],[4.222739893621953e6],[1],[0.8521685107547279],Bool[1],Bool[1],[0.38670593600000003],[0.4],Bool[1],[0.9609365087791372],[0.575],[3.6812479240002893e6],[20],[0.9850216952569462],[4.238903493450448e6],[0.06089345620499455],[0.2],[0.4121472],[1.2447982285094343],[0.1323822967620671]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L3""]","String3[""L3""]","String3[""L1""]","String7[""C3_3""]","String7[""D3_2""]","String7[""F3_2""]","String3[""L1""]","String3[""L3""]","String3[""L2""]","String3[""L1""]","String3[""L1""]","[""L0""]","[""L0""]","[""L0""]",[0.0],[4.0727721652572537e6],Bool[0],Bool[1],[0],[0.030341827946901375],[2.0523433518345767e8],[0.0],[10],[2],[4.137251950639565e6],[0.00434338301327433],[0.353044712],[0.09468512276760646],[1.0],[4.145963347773014e6],[0.9387755102040817],[6],[0],[0.9826757247327284],[0.9823463990449711],[1.0986122881142162],[2.1844242871379232e8],[0.44],[1],Bool[0],[0],[4.137251950639565e6],[0.3855484],[2.1844242871379232e8],[1],[1.609437911636513],Bool[0],[0.76],[0.0],Bool[0],[0],[0.9905445076806247],[0.7551020408163265],[1.0986122883494218],[0.9827471665125518],[1],[1.0986122880932183],[0.6931471803770897],Bool[0],[0.1035572627304913],[0.08308059325739073],Bool[1],[0.16599999999999998],Bool[0],[4.145963347773014e6],[0.16599999999999998],[-0.003569950608691184],[4.074137537488175e6],[0.27699999999999997],[3.2571184429064905e6],[1.6094379117594007],[0.0],Bool[1],[0.3],[0],Bool[1],[0.9823784887756714],[0.94],[0.6931471801658075],Bool[0],Bool[0],[0],[3.2571184429064905e6],[2.1844242871379232e8],[0.04671788257216292],[0.0],[0.0],Bool[0],[1.609437911704792],[3.2571184429064905e6],[4.0699028861161624e6],[2],[1.0986122879472764],Bool[0],Bool[1],[0.35304471200000004],[0.2],Bool[1],[0.9395351278224425],[0.27699999999999997],[3.2571184429064905e6],[15],[0.9980009121216729],[4.0899834962113425e6],[0.048399873852541735],[0.42],[0.3855484],[1.609437911583843],[0.10706439639768206]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L3""]","String3[""L1""]","String3[""L2""]","String7[""C3_3""]","String7[""D3_3""]","String7[""F3_3""]","String3[""L3""]","String3[""L3""]","String3[""L3""]","String3[""L1""]","String3[""L1""]","[""L0""]","[""L0""]","[""L0""]",[0.0],[4.450361271344396e6],Bool[0],Bool[0],[0],[0.024024639793695467],[2.2414975575084195e8],[-1.0],[20],[1],[4.489525421524232e6],[0.0010375278309520096],[0.213983916],[-0.0332574203451357],[0.9588073731724394],[4.489836878065791e6],[1.0],[15],[17],[0.9912804972655922],[0.9912077859856679],[1.196337207586384e-10],[2.3417886143228945e8],[0.46],[0],Bool[0],[0],[4.489525421524232e6],[0.22963459999999997],[2.2413237545860803e8],[15],[1.884612007705114e-10],Bool[0],[0.9],[0.0],Bool[0],[0],[0.9996118129422112],[0.9],[9.179137892697973e-11],[0.9913027356481845],[0],[1.6547093193201932e-10],[1.0465771785765635e-10],Bool[0],[0.06091213999332466],[0.08665077301444],Bool[0],[0.0],Bool[1],[4.489836878065791e6],[0.0],[0.07009528610647625],[4.450687733130451e6],[0.0],[4.524445383502474e6],[2.043932414037801e-10],[0.0],Bool[1],[0.4],[14],Bool[0],[0.9912271586673467],[1.0],[2.418117297553339e-10],Bool[0],Bool[1],[0],[4.279418254668908e6],[2.3376163109490225e8],[0.03658364913249696],[-1.0],[0.0],Bool[0],[3.608633741467275e-10],[4.392918736814597e6],[4.457018539158981e6],[1],[2.747907967925498e-10],Bool[1],Bool[1],[0.21398391600000005],[0.4],Bool[1],[0.9571733092384714],[0.0],[4.279418254668908e6],[20],[0.9982228590525459],[4.457018539158981e6],[0.06208733813721534],[0.5],[0.22963459999999997],[2.7851120160849476e-10],[0.034020530037023225]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L3""]","String3[""L3""]","String3[""L1""]","String7[""C3_1""]","String7[""D3_1""]","String7[""F3_2""]","String3[""L1""]","String3[""L3""]","String3[""L2""]","String3[""L1""]","String3[""L2""]","[""L0""]","[""L0""]","[""L0""]",[0.0],[4.283488041212224e6],Bool[0],Bool[1],[2],[-0.06015275182730443],[2.2102973457213074e8],[0.0],[7],[2],[4.356898605226715e6],[0.008937383062172056],[0.369593636],[-0.025560459581116437],[1.0],[4.362479228103362e6],[0.76],[4],[0],[0.9891886617190422],[0.981893051459759],[1.0986122882385378],[2.2672896778270632e8],[0.38],[0],Bool[0],[0],[4.356898605226715e6],[0.4199102],[2.2672896778270632e8],[1],[1.6094379118318711],Bool[0],[0.44],[0.0],Bool[0],[0],[0.9872735989783545],[0.44],[1.0986122881192044],[0.989182418284943],[0],[1.0986122879724514],[0.6931471803037409],Bool[0],[-0.05401484875890503],[0.03194051997072058],Bool[1],[0.44500000000000006],Bool[0],[4.362479228103362e6],[0.44500000000000006],[-0.0373817578265337],[4.315314989424685e6],[0.598],[3.656051649483486e6],[1.6094379117987863],[0.0],Bool[1],[0.34],[0],Bool[1],[0.9819594732164714],[0.76],[0.693147180022859],Bool[0],Bool[0],[0],[3.656051649483486e6],[2.2672896778270632e8],[-0.023816594666911557],[0.0],[0.0],Bool[0],[1.6094379116201316],[3.656051649483486e6],[4.287516837211918e6],[2],[1.0986122880780038],Bool[0],Bool[1],[0.36959363600000006],[0.14],Bool[0],[0.9748632331090678],[0.598],[3.656051649483486e6],[17],[0.9925198083645241],[4.316898022748122e6],[0.030605300271128483],[0.32],[0.4199102],[1.609437911670251],[0.08292283651684863]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L3""]","String3[""L1""]","String3[""L3""]","String7[""C3_2""]","String7[""D3_2""]","String7[""F3_2""]","String3[""L1""]","String3[""L1""]","String3[""L3""]","String3[""L2""]","String3[""L1""]","[""L0""]","[""L0""]","[""L0""]",[0.0],[4.273784933993029e6],Bool[0],Bool[0],[2],[0.6421340928427941],[2.211201275443316e8],[0.0],[7],[2],[4.312448414155329e6],[0.014468758066952393],[0.36071206799999994],[0.4897707251221281],[0.9917293162173783],[4.313383860741027e6],[1.0],[5],[0],[0.9910426995373125],[0.9908195217429143],[3.057174369837403e-10],[2.3010666397097474e8],[0.54],[1],Bool[0],[0],[4.312448414155329e6],[0.403381],[2.282035245169968e8],[1],[7.82913156243107e-11],Bool[0],[0.9],[0.0],Bool[0],[0],[0.9996375579551691],[0.8979591836734694],[5.058028544525497e-11],[0.9910168513157839],[1],[5.386351918311571e-11],[1.4524748180655004e-9],Bool[0],[0.6997374004263984],[0.13728534138792825],Bool[0],[0.427],Bool[0],[4.313383860741027e6],[0.427],[0.4811522891997811],[4.274747585489462e6],[0.561],[3.906761645726347e6],[6.845206227267003e-10],[0.0],Bool[1],[0.28],[0],Bool[0],[0.9908106535619371],[1.0],[1.5277606476231808e-9],Bool[0],Bool[0],[0],[3.906761645726347e6],[2.3010666397097474e8],[0.35532297995893586],[0.0],[0.0],Bool[0],[6.603454485047755e-10],[3.906761645726347e6],[4.276814896630863e6],[2],[3.2970328078965767e-10],Bool[0],Bool[1],[0.360712068],[0.14],Bool[0],[0.9609462139359133],[0.561],[3.906761645726347e6],[14],[1.0],[4.276814896630863e6],[0.6263335316987249],[0.5],[0.403381],[8.120019858876475e-11],[0.14042045776880233]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L3""]","String3[""L2""]","String3[""L3""]","String7[""C3_2""]","String7[""D3_3""]","String7[""F3_1""]","String3[""L3""]","String3[""L3""]","String3[""L1""]","String3[""L1""]","String3[""L2""]","[""L0""]","[""L0""]","[""L0""]",[-2.0],[3.899484878920098e6],Bool[0],Bool[0],[0],[0.3176578711577969],[1.903860422064739e8],[-2.0],[20],[1],[3.913689363555236e6],[0.6931089380465382],[0.5017635039999999],[0.41968492940490365],[0.9134021343755554],[3.9200088672527755e6],[0.86],[20],[20],[0.995299992893998],[0.9947643005340798],[9.695083623573689e-11],[2.084361696139792e8],[0.36],[0],Bool[0],[20],[3.913689363555236e6],[0.5103762],[1.903860422064739e8],[20],[1.0304432960167145],Bool[0],[0.68],[-2.0],Bool[0],[0],[0.9968648090045809],[0.68],[0.40824439840672866],[0.9953028169739704],[0],[0.4994540430528035],[0.6748551086547038],Bool[0],[0.7930518271006174],[0.08585663165999464],Bool[0],[0.546],Bool[1],[3.9200088672527755e6],[0.546],[0.6398117208695489],[3.9015847977210963e6],[0.598],[3.5840605158444084e6],[1.0663680769850445],[-2.0],Bool[1],[0.4],[20],Bool[0],[0.9947661955755006],[0.86],[0.6673981690405679],Bool[0],Bool[0],[20],[3.7933232509939717e6],[2.084361696139792e8],[0.6253365715012561],[-2.0],[-2.0],Bool[0],[1.057746215749927],[3.7933232509939717e6],[3.899314915352788e6],[1],[9.748948689040769e-11],Bool[0],Bool[1],[0.5017635039999999],[0.4],Bool[1],[0.9134021343755554],[0.598],[3.5840605158444084e6],[20],[0.9973981458527743],[3.9011068958607526e6],[0.5937793780203956],[0.24],[0.5103762],[1.0379155890426766],[0.09241515676554357]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L3""]","String3[""L1""]","String3[""L3""]","String7[""C3_3""]","String7[""D3_2""]","String7[""F3_3""]","String3[""L1""]","String3[""L1""]","String3[""L3""]","String3[""L3""]","String3[""L2""]","[""L0""]","[""L0""]","[""L0""]",[0.0],[4.504793779686054e6],Bool[0],Bool[0],[2],[0.5131348578202666],[2.3484606101980203e8],[0.0],[6],[2],[4.547521181967871e6],[0.01688970289851185],[0.22251891999999998],[0.35203929775281456],[0.9900673322219478],[4.551165839488018e6],[0.92],[4],[13],[0.992646231051517],[0.9898109492298394],[8.897608464914668e-11],[2.3641373169253737e8],[0.42],[0],Bool[0],[0],[4.547521181967871e6],[0.23186579999999998],[2.3406498083904332e8],[6],[2.412222403719567e-10],Bool[0],[0.8],[0.0],Bool[0],[0],[0.9942638574922176],[0.8],[2.5934158411002385e-10],[0.9926488580357842],[0],[2.8653187739609555e-10],[1.0134817095277254e-10],Bool[0],[0.6714348309674611],[0.05119435578264463],Bool[0],[0.0],Bool[0],[4.551165839488018e6],[0.0],[0.7376168630135602],[4.5176976174581945e6],[0.0],[4.254691012422347e6],[1.4158480231133305e-9],[0.0],Bool[1],[0.26],[15],Bool[0],[0.9898267001042204],[0.92],[1.0531658704794257e-10],Bool[0],Bool[0],[0],[4.0279321558120763e6],[2.3641319455894536e8],[0.3236883476360581],[0.0],[0.0],Bool[0],[1.3983313407261174e-9],[4.059841184749577e6],[4.507369911059781e6],[2],[9.89473624971866e-11],Bool[0],Bool[1],[0.22251891999999995],[0.12],Bool[0],[0.9933689525497862],[0.0],[4.0279321558120763e6],[13],[0.997609399039221],[4.512775877805624e6],[0.45348419618216246],[0.34],[0.23186579999999998],[2.6911863395547367e-10],[0.0812619349018961]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L3""]","String3[""L3""]","String3[""L2""]","String7[""C3_2""]","String7[""D3_3""]","String7[""F3_3""]","String3[""L2""]","String3[""L3""]","String3[""L1""]","String3[""L3""]","String3[""L1""]","[""L0""]","[""L0""]","[""L0""]",[-0.5],[3.914565249167574e6],Bool[0],Bool[0],[0],[0.2089519019384623],[1.903304678517338e8],[-0.5],[20],[1],[3.9806154884154005e6],[0.6651315659326356],[0.217029184],[0.04185133526406828],[0.871861945048492],[3.979997856322183e6],[0.98],[14],[17],[0.9806160968738571],[0.9835596375885807],[0.8958267597492617],[2.1830344693063512e8],[0.36],[0],Bool[0],[0],[3.9806154884154005e6],[0.22366039999999998],[1.903304678517338e8],[14],[1.3924893055481649],Bool[0],[0.84],[0.0],Bool[0],[0],[0.9931157755275545],[0.84],[0.9227191344003522],[0.9806265397993255],[0],[0.892271928939993],[0.6423401466282872],Bool[0],[0.43761857783920377],[0.053498587943982226],Bool[0],[0.0],Bool[1],[3.979997856322183e6],[0.0],[0.14514591929930956],[3.902849963432977e6],[0.0],[3.2625394237286285e6],[1.344315298086323],[-0.5],Bool[1],[0.4],[17],Bool[0],[0.9835400644086124],[0.98],[0.579779298771042],Bool[0],Bool[0],[0],[3.235654586593104e6],[2.1830344693063512e8],[0.3177912793336677],[-0.5],[0.0],Bool[0],[1.2895714935516844],[3.3345934804371935e6],[3.9322471011029216e6],[1],[0.8731065500237716],Bool[0],Bool[1],[0.21702918399999999],[0.4],Bool[1],[0.871861945048492],[0.0],[3.235654586593104e6],[20],[0.9898337230726781],[3.8913352756458223e6],[0.3468504832300719],[0.4],[0.22366039999999998],[1.3444995390950962],[0.052881933701406966]
"String3[""L2""]","String3[""L2""]","String3[""L1""]","String3[""L3""]","String3[""L1""]","String3[""L2""]","String7[""C3_2""]","String7[""D3_3""]","String7[""F3_1""]","String3[""L3""]","String3[""L3""]","String3[""L3""]","String3[""L3""]","String3[""L1""]","[""L0""]","[""L0""]","[""L0""]",[0.0],[4.009690758934096e6],Bool[0],Bool[0],[2],[0.25879469484738726],[2.1604437958938766e8],[-2.0],[7],[2],[4.019820634738335e6],[0.04699534496096395],[0.500053392],[0.14974469194734066],[0.9613981283905478],[4.020911698656174e6],[0.96],[7],[20],[0.9970680731631414],[0.9972093543546783],[2.0380849246735818e-10],[2.247189517115683e8],[0.08],[0],Bool[0],[20],[4.019820634738335e6],[0.5014248],[2.1604437958938766e8],[7],[2.0872674876158622e-10],Bool[0],[0.84],[-2.0],Bool[0],[2],[0.9979262476785629],[0.84],[5.860267724955048e-11],[0.9970696858306586],[0],[1.0139152294680332e-10],[9.810145413985109e-11],Bool[0],[0.20141532783126076],[0.11025680227541519],Bool[0],[0.51],Bool[0],[4.020911698656174e6],[0.51],[0.03921160055306954],[4.009122679738245e6],[0.568],[3.99072758921044e6],[1.342306000653923e-10],[0.0],Bool[1],[0.14],[20],Bool[0],[0.9972112424029403],[0.96],[2.381460884276261e-10],Bool[0],Bool[0],[20],[3.864950587797026e6],[2.247189517115683e8],[0.08852443270901791],[-2.0],[-2.0],Bool[0],[1.9312082746254934e-10],[3.864950587797026e6],[4.0112246863933923e6],[2],[3.6199876180439106e-10],Bool[0],Bool[1],[0.500053392],[0.14],Bool[0],[0.9613981283905478],[0.568],[3.99072758921044e6],[7],[0.9979262476785629],[4.010068946623291e6],[0.14736466978091503],[0.12],[0.5014248],[3.1813511585839097e-10],[0.15328353612831355]
